name,url,city_name,city_state,industry,ranking
Walmart,http://fortune.com/fortune500/walmart-1/,Bentonville, AR,General Merchandisers,1
Exxon Mobil,http://fortune.com/fortune500/exxon-mobil-2/,Irving, TX,Petroleum Refining,2
Chevron,http://fortune.com/fortune500/chevron-3/,San Ramon, CA,Petroleum Refining,3
Berkshire Hathaway,http://fortune.com/fortune500/berkshire-hathaway-4/,Omaha, NE,Insurance: Property and Casualty (Stock),4
Apple,http://fortune.com/fortune500/apple-5/,Cupertino, CA,"Computers, Office Equipment",5
General Motors,http://fortune.com/fortune500/general-motors-6/,Detroit, MI,Motor Vehicles and Parts,6
Phillips 66,http://fortune.com/fortune500/phillips-66-7/,Houston, TX,Petroleum Refining,7
General Electric,http://fortune.com/fortune500/general-electric-8/,Fairfield, CT,Diversified Financials,8
Ford Motor,http://fortune.com/fortune500/ford-motor-9/,Dearborn, MI,Motor Vehicles and Parts,9
CVS Health,http://fortune.com/fortune500/cvs-health-10/,Woonsocket, RI,Food and Drug Stores,10
McKesson,http://fortune.com/fortune500/mckesson-11/,San Francisco, CA,Wholesalers: Health Care,11
AT&T,http://fortune.com/fortune500/att-12/,Dallas, TX,Telecommunications,12
Valero Energy,http://fortune.com/fortune500/valero-energy-13/,San Antonio, TX,Petroleum Refining,13
UnitedHealth Group,http://fortune.com/fortune500/unitedhealth-group-14/,Minnetonka, MN,Health Care: Insurance and Managed Care,14
Verizon,http://fortune.com/fortune500/verizon-15/,New York, NY,Telecommunications,15
AmerisourceBergen,http://fortune.com/fortune500/amerisourcebergen-16/,Chesterbrook, PA,Wholesalers: Health Care,16
Fannie Mae,http://fortune.com/fortune500/fannie-mae-17/,Washington, DC,Diversified Financials,17
Costco,http://fortune.com/fortune500/costco-18/,Issaquah, WA,Specialty Retailers: Other,18
HP,http://fortune.com/fortune500/hp-19/,Palo Alto, CA,"Computers, Office Equipment",19
Kroger,http://fortune.com/fortune500/kroger-20/,Cincinnati, OH,Food and Drug Stores,20
JP Morgan Chase,http://fortune.com/fortune500/jp-morgan-chase-21/,New York, NY,Commercial Banks,21
Express Scripts Holding,http://fortune.com/fortune500/express-scripts-holding-22/,St. Louis, MO,Health Care: Pharmacy and Other Services,22
Bank of America Corp.,http://fortune.com/fortune500/bank-of-america-corp-23/,Charlotte, NC,Commercial Banks,23
IBM,http://fortune.com/fortune500/ibm-24/,Armonk, NY,Information Technology Services,24
Marathon Petroleum,http://fortune.com/fortune500/marathon-petroleum-25/,Findlay, OH,Petroleum Refining,25
Cardinal Health,http://fortune.com/fortune500/cardinal-health-26/,Dublin, OH,Wholesalers: Health Care,26
Boeing,http://fortune.com/fortune500/boeing-27/,Chicago, IL,Aerospace and Defense,27
Citigroup,http://fortune.com/fortune500/citigroup-28/,New York, NY,Commercial Banks,28
Amazon.com,http://fortune.com/fortune500/amazon-com-29/,Seattle, WA,Internet Services and Retailing,29
Wells Fargo,http://fortune.com/fortune500/wells-fargo-30/,San Francisco, CA,Commercial Banks,30
Microsoft,http://fortune.com/fortune500/microsoft-31/,Redmond, WA,Computer Software,31
Procter & Gamble,http://fortune.com/fortune500/procter-gamble-32/,Cincinnati, OH,Household and Personal Products,32
Home Depot,http://fortune.com/fortune500/home-depot-33/,Atlanta, GA,Specialty Retailers: Other,33
Archer Daniels Midland,http://fortune.com/fortune500/archer-daniels-midland-34/,Chicago, IL,Food Production,34
Walgreens,http://fortune.com/fortune500/walgreens-35/,Deerfield, IL,Food and Drug Stores,35
Target,http://fortune.com/fortune500/target-36/,Minneapolis, MN,General Merchandisers,36
Johnson & Johnson,http://fortune.com/fortune500/johnson-johnson-37/,New Brunswick, NJ,Pharmaceuticals,37
Anthem,http://fortune.com/fortune500/anthem-38/,Indianapolis, IN,Health Care: Insurance and Managed Care,38
MetLife,http://fortune.com/fortune500/metlife-39/,New York, NY,"Insurance: Life, Health (stock)",39
Google,http://fortune.com/fortune500/google-40/,Mountain View, CA,Internet Services and Retailing,40
State Farm Insurance Cos.,http://fortune.com/fortune500/state-farm-insurance-cos-41/,Bloomington, IL,Insurance: Property and Casualty (Mutual),41
Freddie Mac,http://fortune.com/fortune500/freddie-mac-42/,McLean, VA,Diversified Financials,42
Comcast,http://fortune.com/fortune500/comcast-43/,Philadelphia, PA,Telecommunications,43
PepsiCo,http://fortune.com/fortune500/pepsi-44/,Purchase, NY,Food Consumer Products,44
United Technologies,http://fortune.com/fortune500/united-technologies-45/,Hartford, CT,Aerospace and Defense,45
AIG,http://fortune.com/fortune500/aig-46/,New York, NY,Insurance: Property and Casualty (Stock),46
UPS,http://fortune.com/fortune500/ups-47/,Atlanta, GA,"Mail, Package, and Freight Delivery",47
Dow Chemical,http://fortune.com/fortune500/dow-chemical-48/,Midland, MI,Chemicals,48
Aetna,http://fortune.com/fortune500/aetna-49/,Hartford, CT,Health Care: Insurance and Managed Care,49
Lowe's,http://fortune.com/fortune500/lowes-50/,Mooresville, NC,Specialty Retailers: Other,50
ConocoPhillips,http://fortune.com/fortune500/conocophillips-51/,Houston, TX,"Mining, Crude-Oil Production",51
Intel,http://fortune.com/fortune500/intel-52/,Santa Clara, CA,Semiconductors and Other Electronic Components,52
Energy Transfer Equity,http://fortune.com/fortune500/energy-transfer-equity-53/,Dallas, TX,Pipelines,53
Caterpillar,http://fortune.com/fortune500/caterpillar-54/,Peoria, IL,Construction and Farm Machinery,54
Prudential Financial,http://fortune.com/fortune500/prudential-financial-55/,Newark, NJ,"Insurance: Life, Health (stock)",55
Pfizer,http://fortune.com/fortune500/pfizer-56/,New York, NY,Pharmaceuticals,56
Disney,http://fortune.com/fortune500/disney-57/,Burbank, CA,Entertainment,57
Humana,http://fortune.com/fortune500/humana-58/,Louisville, KY,Health Care: Insurance and Managed Care,58
Enterprise Products Partners,http://fortune.com/fortune500/enterprise-products-partners-59/,Houston, TX,Pipelines,59
Cisco Systems,http://fortune.com/fortune500/cisco-systems-60/,San Jose, CA,Network and Other Communications Equipment,60
Sysco,http://fortune.com/fortune500/sysco-61/,Houston, TX,Wholesalers: Food and Grocery,61
Ingram Micro,http://fortune.com/fortune500/ingram-micro-62/,Santa Ana, CA,Wholesalers: Electronics and Office Equipment,62
Coca-Cola,http://fortune.com/fortune500/coca-cola-63/,Atlanta, GA,Beverages,63
Lockheed Martin,http://fortune.com/fortune500/lockheed-martin-64/,Bethesda, MD,Aerospace and Defense,64
FedEx,http://fortune.com/fortune500/fedex-65/,Memphis, TN,"Mail, Package, and Freight Delivery",65
Johnson Controls,http://fortune.com/fortune500/johnson-controls-66/,Milwaukee, WI,Motor Vehicles and Parts,66
Plains GP Holdings,http://fortune.com/fortune500/plains-gp-holdings-67/,Houston, TX,Pipelines,67
World Fuel Services,http://fortune.com/fortune500/world-fuel-services-68/,Miami, FL,Wholesalers: Diversified,68
CHS,http://fortune.com/fortune500/chs-69/,Inver Grove Heights, MN,Food Production,69
American Airlines Group,http://fortune.com/fortune500/american-airlines-group-70/,Fort Worth, TX,Airlines,70
Merck,http://fortune.com/fortune500/merck-71/,Kenilworth, NJ,Pharmaceuticals,71
Best Buy,http://fortune.com/fortune500/best-buy-72/,Richfield, MN,Specialty Retailers: Other,72
Delta Air Lines,http://fortune.com/fortune500/delta-air-lines-73/,Atlanta, GA,Airlines,73
Honeywell International,http://fortune.com/fortune500/honeywell-international-74/,Morris Township, NJ,"Electronics, Electrical Equip.",74
HCA Holdings,http://fortune.com/fortune500/hca-holdings-75/,Nashville, TN,Health Care: Medical Facilities,75
Goldman Sachs Group,http://fortune.com/fortune500/goldman-sachs-group-76/,New York, NY,Commercial Banks,76
Tesoro,http://fortune.com/fortune500/tesoro-77/,San Antonio, TX,Petroleum Refining,77
Liberty Mutual Insurance Group,http://fortune.com/fortune500/liberty-mutual-insurance-group-78/,Boston, MA,Insurance: Property and Casualty (Stock),78
United Continental Holdings,http://fortune.com/fortune500/united-continental-holdings-79/,Chicago, IL,Airlines,79
New York Life Insurance,http://fortune.com/fortune500/new-york-life-insurance-80/,New York, NY,"Insurance: Life, Health (Mutual)",80
Oracle,http://fortune.com/fortune500/oracle-81/,Redwood City, CA,Computer Software,81
Morgan Stanley,http://fortune.com/fortune500/morgan-stanley-82/,New York, NY,Commercial Banks,82
Tyson Foods,http://fortune.com/fortune500/tyson-foods-83/,Springdale, AR,Food Production,83
Safeway,http://fortune.com/fortune500/safeway-84/,Pleasanton, CA,Food and Drug Stores,84
Nationwide,http://fortune.com/fortune500/nationwide-85/,Columbus, OH,Insurance: Property and Casualty (Mutual),85
Deere,http://fortune.com/fortune500/deere-86/,Moline, IL,Construction and Farm Machinery,86
DuPont,http://fortune.com/fortune500/dupont-87/,Wilmington, DE,Chemicals,87
American Express,http://fortune.com/fortune500/american-express-88/,New York, NY,Commercial Banks,88
Allstate,http://fortune.com/fortune500/allstate-89/,Northbrook, IL,Insurance: Property and Casualty (Stock),89
